Property Name,Dividend Date,dividend_per_share
Marietta,3/31/2023,0.09
Aster,3/31/2023,0.05
Cypress,3/31/2023,0.06
Harrison,3/31/2023,0.07
Wellington,3/31/2023,0.08
Blossom,3/31/2023,0.10
Inglewood,3/31/2023,0.08
Braxton,3/31/2023,0.13
Winston,3/31/2023,0.08
Marcelo,3/31/2023,0.10
Quincy,3/31/2023,0.08
Jill,3/31/2023,0.08
Taylor,3/31/2023,0.06
Mae,3/31/2023,0.09
Chester,3/31/2023,0.05
Shallowford,3/31/2023,0.08
Piedmont,3/31/2023,0.05
Kessler,3/31/2023,0.05
Creekwood,3/31/2023,0.05
Hansel,3/31/2023,0.08
Falcon,3/31/2023,0.09
Eagle,3/31/2023,0.10
Goose,3/31/2023,0.11
Mimosa,3/31/2023,0.10
Redondo,3/31/2023,0.08
Sundance,3/31/2023,0.08
Oasis,3/31/2023,0.11
Pointbreak,3/31/2023,0.10
Hammock,3/31/2023,0.12
Ace,3/31/2023,0.17
Cardinal,3/31/2023,0.38
Orchard,3/31/2023,0.12
Mirage,3/31/2023,0.10
Cactus,3/31/2023,0.17
Opry,3/31/2023,0.09
Palm,3/31/2023,0.10
Serenity,3/31/2023,0.13
Sugarcreek,3/31/2023,0.11
Gretal,3/31/2023,0.09
Brooklyn,3/31/2023,0.11
Brainerd,3/31/2023,0.09
Litton,3/31/2023,0.09
Chickamauga,3/31/2023,0.10
Sequoyah,3/31/2023,0.10
Lakeridge,3/31/2023,0.12
Havasu,3/31/2023,0.11
Regal,3/31/2023,0.10
Lurleen,3/31/2023,0.12
Regency,3/31/2023,0.10
Lannister,6/30/2023,0.07
Diablo,6/30/2023,0.06
Madison,6/30/2023,0.06
101,6/30/2023,0.05
Peanut,6/30/2023,0.11
Dolittle,6/30/2023,0.11
Murphy,6/30/2023,0.16
Lennox,6/30/2023,0.17
Butter,6/30/2023,0.12
Dawson,6/30/2023,0.08
Lierly,6/30/2023,0.23
Roseberry,6/30/2023,0.12
KerriAnn,6/30/2023,0.06
Amber,6/30/2023,0.06
Spencer,6/30/2023,0.17
Gardens,6/30/2023,0.12
Tuscan,6/30/2023,0.18
Hadden,6/30/2023,0.15
Oly,6/30/2023,0.1
Splash,6/30/2023,0.2
Ribbonwalk,6/30/2023,0.07
Elevation,6/30/2023,0.05
